,0
432,163168.48
433,114674.695
434,105404.3
435,114674.695
436,151655.44
437,129973.66
438,65389.348
439,156282.55
440,213026.28
441,113351.81
442,125823.805
443,114442.69
444,122635.766
445,65981.95
446,174483.39
447,156904.94
448,59801.867
449,138155.3
450,174483.39
451,165424.03
452,156904.94
453,183259.94
454,156904.94
455,183259.94
456,174483.39
457,156904.94
458,151655.44
459,151655.44
460,201899.69
461,116885.9
462,134171.08
463,138155.3
464,198352.8
465,151655.44
466,156282.55
467,199974.78
468,73870.12
469,77844.91
470,156904.94
471,78172.72
472,166182.77
473,198352.8
474,150732.61
475,121787.09
476,174483.39
477,166182.77
478,174483.39
479,156904.94
480,106379.055
481,183259.94
482,68841.99
483,67869.664
484,156904.94
485,180281.97
486,117863.69
487,48019.99
488,156282.55
489,185738.28
490,156904.94
491,114674.695
492,81309.32
493,126539.484
494,174483.39
495,122635.766
496,120656.58
497,62276.266
498,70122.21
499,132250.98
500,156904.94
501,178271.81
502,166510.61
503,165108.8
504,62121.195
505,144753.75
506,166182.77
507,174483.39
508,165424.03
509,174483.39
510,174483.39
511,165424.03
512,193802.72
513,82831.91
514,137445.36
515,174483.39
516,183259.94
517,179468.94
518,156282.55
519,130494.234
520,198352.8
521,183259.94
522,193023.81
523,178065.47
524,165108.8
525,156904.94
526,198352.8
527,174483.39
528,156282.55
529,114195.016
530,198352.8
531,148875.69
532,156904.94
533,130494.234
534,169579.83
535,73766.91
536,63598.1
537,165424.03
538,174483.39
539,121067.8
540,86802.24
541,156904.94
542,114674.695
543,149379.25
544,112506.32
545,174483.39
546,135514.6
547,156282.55
548,73221.02
549,138155.3
550,151655.44
551,156282.55
552,151655.44
553,114674.695
554,156282.55
555,203562.84
556,40473.992
557,183259.94
558,156904.94
559,205568.88
560,211405.89
561,121787.09
562,156282.55
563,137445.36
564,166182.77
565,58140.723
566,156904.94
567,183259.94
568,175803.36
569,156282.55
570,88418.59
571,183259.94
572,179468.94
573,151655.44
574,156904.94
575,156282.55
576,194145.45
577,174483.39
578,183259.94
579,114195.016
580,72125.07
581,90612.016
582,114674.695
583,174483.39
584,156282.55
585,90612.016
586,198352.8
587,100680.266
588,156282.55
589,122635.766
590,156282.55
591,156904.94
592,157267.47
593,31183.012
594,150562.0
595,151655.44
596,174483.39
597,51447.24
598,151655.44
599,174483.39
600,183259.94
601,140636.19
602,165108.8
603,95809.15
